SK_ID_CURR,top_1_risk_driver,top_2_risk_driver,top_3_risk_driver,top_1_support_driver,top_2_support_driver,top_3_support_driver
100020,External Risk Score 3,External Risk Score 2,OCCUPATION_TYPE_Drivers,Days Since ID Update,Temporal Behavioral Pattern,AMT_REQ_CREDIT_BUREAU_QRT
100062,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,External Risk Score 2,Temporal Behavioral Pattern
100063,External Risk Score 3,DEF_30_CNT_SOCIAL_CIRCLE,Annuity Amount,Days Since ID Update,External Risk Score 2,NAME_EDUCATION_TYPE_Secondary_secondary_special
100182,NAME_FAMILY_STATUS_Separated,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,External Risk Score 2,Annuity Amount,Days Since Last Phone Change
100198,Temporal Behavioral Pattern,Days Since Last Phone Change,OCCUPATION_TYPE_Drivers,External Risk Score 2,External Risk Score 3,OWN_CAR_AGE
100234,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Temporal Behavioral Pattern,External Risk Score 3,Annuity Amount,External Risk Score 2
100303,External Risk Score 2,Temporal Behavioral Pattern,Days Since Last Phone Change,Age Proxy (Days Birth),Annuity Amount,FLOORSMIN_MEDI
100414,Temporal Behavioral Pattern,Annuity Amount,Goods Price,External Risk Score 3,Days Since Last Phone Change,External Risk Score 2
100417,External Risk Score 2,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 3,Days Since Last Phone Change,Days Since Registration
100750,Temporal Behavioral Pattern,Employment Length,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since Last Phone Change,External Risk Score 3,External Risk Score 2
101209,CODE_GENDER_M,Annuity Amount,Region Population Relative,External Risk Score 2,External Risk Score 3,NAME_EDUCATION_TYPE_Secondary_secondary_special
101215,Days Since Last Phone Change,Temporal Behavioral Pattern,TOTALAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,COMMONAREA_MEDI,Temporal Behavioral Pattern
101262,Days Since Last Phone Change,Temporal Behavioral Pattern,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 1,External Risk Score 3,External Risk Score 2
101436,Days Since Registration,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special,Days Since Last Phone Change,OWN_CAR_AGE,Annuity Amount
101494,Days Since Last Phone Change,Temporal Behavioral Pattern,AMT_REQ_CREDIT_BUREAU_YEAR,External Risk Score 1,Days Since ID Update,External Risk Score 2
101589,External Risk Score 3,External Risk Score 2,Temporal Behavioral Pattern,External Risk Score 1,OWN_CAR_AGE,Days Since Last Phone Change
101625,External Risk Score 2,Days Since Last Phone Change,Annuity Amount,Temporal Behavioral Pattern,Temporal Behavioral Pattern,Temporal Behavioral Pattern
102027,Age Proxy (Days Birth),REG_CITY_NOT_WORK_CITY,OWN_CAR_AGE,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,Annuity Amount
102157,External Risk Score 2,Temporal Behavioral Pattern,Annuity Amount,Days Since ID Update,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3
102224,Days Since ID Update,Annuity Amount,Days Since Last Phone Change,External Risk Score 2,OWN_CAR_AGE,NAME_EDUCATION_TYPE_Secondary_secondary_special
102421,External Risk Score 2,External Risk Score 1,Age Proxy (Days Birth),External Risk Score 3,Temporal Behavioral Pattern,Days Since Last Phone Change
102719,Temporal Behavioral Pattern,Days Since ID Update,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 1,OWN_CAR_AGE
102742,External Risk Score 3,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,Temporal Behavioral Pattern,OWN_CAR_AGE
103008,Days Since Registration,Temporal Behavioral Pattern,Temporal Behavioral Pattern,External Risk Score 2,External Risk Score 3,Temporal Behavioral Pattern
103022,External Risk Score 2,Days Since Last Phone Change,NAME_EDUCATION_TYPE_Secondary_secondary_special,External Risk Score 3,Days Since ID Update,Employment Length
