SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_FAMILY_STATUS,DAYS_EMPLOYED,DAYS_BIRTH,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3
100009,0,Cash loans,F,Y,Y,1,171000.0,1560726.0,41301.0,1395000.0,Married,-3130,-13778,0.7747614130547695,0.7239998516953141,0.4920600938649263
100020,0,Cash loans,M,N,N,0,108000.0,509602.5,26149.5,387000.0,Married,-1317,-12931,,0.2363778398884225,0.0621030378372968
100023,0,Cash loans,F,N,Y,1,90000.0,544491.0,17563.5,454500.0,Single / not married,-2038,-11348,,0.5866171400119664,0.4776491548517548
100046,0,Revolving loans,M,Y,Y,0,180000.0,540000.0,27000.0,540000.0,Married,-1761,-16126,,0.7380532835697358,0.6058362647264226
100062,0,Cash loans,M,Y,N,0,81000.0,675000.0,32472.0,675000.0,Married,365243,-18611,,0.6628649268152181,0.7380196196295241
100063,0,Cash loans,F,N,Y,0,180000.0,837427.5,45558.0,666000.0,Married,-4106,-12955,0.5527719020519871,0.6166372926426479,0.0701088438273582
100080,0,Revolving loans,F,N,N,1,157500.0,450000.0,22500.0,450000.0,Civil marriage,-3154,-11956,0.4115064104251909,0.1238882922844139,0.8327850252992314
100084,0,Cash loans,M,N,Y,2,225000.0,495351.0,26140.5,459000.0,Separated,-1156,-14860,,0.5705270507243844,0.6940926425266661
100173,0,Cash loans,F,N,N,0,117000.0,781920.0,26725.5,675000.0,Single / not married,-2596,-11633,0.7239404653083322,0.6363951652298555,0.4525335592581747
100182,0,Revolving loans,F,N,Y,1,112500.0,135000.0,6750.0,135000.0,Separated,-4758,-13558,0.4643561769338667,0.7518692268821991,0.4206109640437848
100185,0,Cash loans,M,N,Y,0,58500.0,187704.0,10903.5,148500.0,Married,365243,-20215,,0.557347622511613,0.7713615919194317
100198,0,Cash loans,M,Y,Y,1,135000.0,531000.0,32616.0,531000.0,Married,-1786,-13116,,0.7489161279000881,0.6397075677637197
100228,0,Cash loans,F,N,N,1,121500.0,1102500.0,32364.0,1102500.0,Married,-410,-13957,0.7410963179186301,0.4088706121454352,0.4258928980051529
100234,0,Revolving loans,F,N,N,0,67500.0,180000.0,9000.0,180000.0,Widow,-551,-16614,,0.5839260467408239,0.7165702448010511
100237,0,Cash loans,F,N,N,2,144000.0,1288350.0,37800.0,1125000.0,Civil marriage,-281,-13803,,0.5470362331184999,0.2176285202779586
100259,0,Cash loans,M,Y,Y,0,180000.0,427500.0,21955.5,427500.0,Married,365243,-20672,,0.3791620413147299,0.3791004853998145
100303,0,Cash loans,F,N,Y,0,292500.0,254700.0,15709.5,225000.0,Widow,365243,-24006,,0.2824903715892518,0.4101025731788671
100307,0,Cash loans,M,N,Y,0,225000.0,451804.5,35824.5,369000.0,Married,-1480,-16546,0.5725847271056428,0.6803211845067775,0.4489622731076524
100362,0,Cash loans,F,N,Y,1,157500.0,807984.0,26833.5,697500.0,Civil marriage,-3668,-17438,,0.6402018177118465,0.6058362647264226
100393,0,Cash loans,M,Y,Y,2,405000.0,2250000.0,59485.5,2250000.0,Married,-6158,-14966,,0.6823200671179018,0.6925590674998008
100413,0,Cash loans,M,N,Y,0,90000.0,90000.0,9351.0,90000.0,Married,365243,-22768,,0.6513361147619012,
100414,0,Cash loans,F,N,Y,0,112500.0,533304.0,27360.0,405000.0,Single / not married,-4048,-12360,,0.5570077120596583,0.6512602186973006
100417,0,Cash loans,F,N,Y,0,180000.0,755190.0,36459.0,675000.0,Widow,-879,-16129,,0.3552308172290725,0.7121551551910698
100418,0,Cash loans,F,N,N,0,135000.0,521280.0,31500.0,450000.0,Civil marriage,-1765,-13284,0.4852892795125728,0.7376641513695528,0.4632753280912678
100440,0,Cash loans,F,N,Y,0,40500.0,127350.0,7438.5,112500.0,Married,365243,-23903,,0.0966100367748805,0.7850520263728172
100451,0,Cash loans,F,N,Y,0,144000.0,446931.0,16978.5,369000.0,Married,-10988,-19501,,0.6527550633490753,0.3441550073724169
100482,0,Cash loans,F,Y,Y,0,112500.0,445500.0,16924.5,445500.0,Civil marriage,-890,-18579,,0.3067894273830089,0.6986675550534175
100501,0,Cash loans,M,N,N,1,247500.0,1125000.0,29808.0,1125000.0,Single / not married,-1870,-13816,,0.5297775848707685,0.6347055309763198
100514,0,Cash loans,M,N,Y,0,270000.0,265306.5,28701.0,252000.0,Married,365243,-15187,0.2965121132543053,0.5977122880781701,0.4614823912998385
100520,0,Revolving loans,F,N,Y,0,135000.0,270000.0,13500.0,270000.0,Single / not married,-2572,-20143,0.5040490174117552,0.3260787531984177,
100524,0,Cash loans,M,N,Y,0,112500.0,284400.0,20740.5,225000.0,Married,-3186,-10936,,0.682144661108665,
100532,0,Cash loans,M,Y,Y,0,99000.0,277969.5,13086.0,229500.0,Civil marriage,-117,-18437,,0.2906085390815557,
100558,0,Revolving loans,M,N,Y,0,157500.0,270000.0,13500.0,270000.0,Married,-1299,-19499,,0.197611644362726,0.0988592803548219
100652,0,Cash loans,F,Y,Y,0,130500.0,995562.0,54684.0,922500.0,Married,365243,-22021,0.3707959575674975,0.5199181716543826,0.6722428897082422
100656,0,Cash loans,F,N,Y,0,54000.0,312768.0,13378.5,270000.0,Married,365243,-20419,0.7058454256357752,0.4587931618370748,0.6658549219640212
100685,0,Cash loans,M,N,N,0,265500.0,360000.0,23134.5,360000.0,Single / not married,-2125,-20020,0.7529287029018897,0.6596075086611579,0.5549467685334323
100687,0,Cash loans,M,Y,Y,0,243000.0,631332.0,40477.5,585000.0,Married,-1940,-12257,,0.4398471718113469,0.7194907850918436
100707,0,Cash loans,M,N,Y,3,135000.0,1160973.0,37579.5,909000.0,Married,365243,-16960,0.6611175469874515,0.74072056917355,0.7503751495159068
100750,0,Cash loans,F,N,Y,0,121500.0,472500.0,19993.5,472500.0,Civil marriage,-1369,-13432,,0.5510914864847888,0.4938628816996244
100759,0,Cash loans,M,Y,N,2,202500.0,938304.0,50121.0,810000.0,Married,-4752,-16290,0.3655238490112184,0.7772283250141669,0.5226973172821112
100784,1,Cash loans,F,N,Y,0,54000.0,1885500.0,74191.5,1885500.0,Married,365243,-22181,,0.6238430141034935,
100790,0,Cash loans,M,Y,N,0,157500.0,339948.0,27387.0,315000.0,Married,-1172,-9365,0.1481933284523023,0.5147636756462116,0.6006575372857061
100893,0,Cash loans,F,N,Y,0,90000.0,701730.0,68490.0,675000.0,Married,-3300,-16419,0.8427552663162746,0.7511300729625854,0.7922644738669378
100933,0,Cash loans,F,Y,Y,0,112500.0,162000.0,9297.0,162000.0,Single / not married,-1858,-14259,,0.7531927408923665,
100957,0,Cash loans,F,Y,Y,0,315000.0,927571.5,51795.0,859500.0,Civil marriage,-1779,-10014,0.5078892189202534,0.5246539739662929,
100967,0,Cash loans,M,Y,Y,0,283500.0,1149210.0,33732.0,1003500.0,Civil marriage,-1625,-18493,0.724443657114373,0.6228367054467593,0.511891801533151
100972,0,Cash loans,F,N,Y,0,202500.0,1264428.0,37098.0,990000.0,Married,-710,-17641,,0.4199078718193416,0.1575949986663102
101003,0,Cash loans,M,Y,Y,0,247500.0,407745.0,42943.5,382500.0,Married,-743,-14471,0.7055608697228873,0.7464284647299886,0.4884551844437485
101037,0,Cash loans,F,N,N,0,247500.0,747000.0,38268.0,747000.0,Widow,365243,-22346,,0.7060019265097552,0.7623356180684377
101094,0,Cash loans,F,N,Y,0,112500.0,819432.0,23958.0,684000.0,Widow,-3326,-23643,,0.5924959277437121,
101096,1,Cash loans,M,N,Y,0,112500.0,550980.0,35343.0,450000.0,Single / not married,-757,-8824,0.1002068956111346,0.0357634800925385,0.4578995512067301
101117,0,Cash loans,F,N,N,0,144000.0,585000.0,32796.0,585000.0,Widow,365243,-18656,0.4863160438692074,0.657793455431647,0.4382813743111921
101130,0,Cash loans,F,Y,Y,0,67500.0,203760.0,10782.0,180000.0,Married,365243,-24103,,0.6964779867315383,
101139,0,Cash loans,F,Y,Y,1,112500.0,679500.0,19867.5,679500.0,Civil marriage,-3319,-11944,,0.492758753202071,0.6397075677637197
101141,0,Cash loans,F,N,N,2,139500.0,135000.0,10795.5,135000.0,Married,-628,-16496,,0.7152289201799761,0.5082869913916046
101174,0,Cash loans,F,N,Y,1,157500.0,1125000.0,32895.0,1125000.0,Civil marriage,-2332,-12693,0.5526276703910069,0.6613238436597073,0.5316861425197883
101209,0,Revolving loans,M,Y,N,0,180000.0,540000.0,27000.0,540000.0,Married,-5516,-18800,,0.640040616163284,0.4902575124990026
101215,0,Cash loans,M,N,Y,1,360000.0,1757466.0,48460.5,1467000.0,Married,-897,-11768,,0.6013664282562353,
101226,0,Cash loans,F,N,N,2,180000.0,729000.0,25956.0,729000.0,Married,-257,-11284,0.5197841512341167,0.6249507703121889,0.2910973802776635
101232,0,Cash loans,F,N,Y,1,189000.0,1288350.0,37800.0,1125000.0,Civil marriage,-6480,-13273,,0.1616609115083164,0.4902575124990026
101246,0,Revolving loans,F,N,Y,0,112500.0,337500.0,16875.0,337500.0,Married,365243,-20300,,0.4977112702659963,0.7352209993926424
101261,0,Cash loans,F,N,Y,0,171000.0,1256400.0,36864.0,900000.0,Married,-1184,-13432,,0.2831778890548255,
101262,0,Cash loans,F,N,Y,0,72000.0,193500.0,10935.0,193500.0,Married,365243,-23962,0.8443476248779161,0.6219167522470002,0.8050196619153701
101266,0,Cash loans,F,Y,N,2,135000.0,701721.0,26005.5,567000.0,Married,-190,-11106,0.4803295944191722,0.0237254116719733,0.6512602186973006
101311,0,Cash loans,F,N,Y,0,103500.0,742500.0,31590.0,742500.0,Married,-2736,-20166,,0.3758321609364965,0.6161216908872079
