SK_ID_CURR,actual_default,pd_raw,pd_calibrated,credit_grade,decision_recommendation,grade_group,is_investment_grade,is_review_grade,is_high_risk,portfolio_percentile,risk_priority_flag,decision_pd_threshold,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,LGD,EAD,ECL_base
156066,0,0.9160111,0.3320369139079463,C,Reject,High Risk,0,0,1,1.0,Immediate Review,Reject,719946.0,34767.0,643500.0,,719946.0,
133840,1,0.909293,0.3264795049177999,D,Reject,High Risk,0,0,1,0.9997217584863661,Immediate Review,Reject,545040.0,35617.5,450000.0,0.7,545040.0,124561.07255227836
207415,0,0.90690166,0.32451292283336064,C,Reject,High Risk,0,0,1,0.9994435169727324,Immediate Review,Reject,382050.0,30312.0,337500.0,,382050.0,
218614,0,0.9024173,0.3208417713951745,C,Reject,High Risk,0,0,1,0.9991652754590985,Immediate Review,Reject,170640.0,13612.5,135000.0,,170640.0,
122861,1,0.90196776,0.3204749631305228,D,Reject,High Risk,0,0,1,0.9988870339454646,Immediate Review,Reject,474048.0,25843.5,360000.0,0.7,474048.0,106344.36072546865
325842,1,0.9002937,0.31911094160118003,D,Reject,High Risk,0,0,1,0.9986087924318309,Immediate Review,Reject,407727.0,29799.0,333000.0,0.7,407727.0,91077.10282035702
301114,0,0.89525604,0.31502496054806334,C,Reject,High Risk,0,0,1,0.998330550918197,Immediate Review,Reject,172021.5,19584.0,148500.0,,172021.5,
314731,0,0.8926887,0.3129535249070583,C,Reject,High Risk,0,0,1,0.9980523094045631,Immediate Review,Reject,284400.0,20740.5,225000.0,,284400.0,
178606,1,0.8921852,0.31254816856866724,D,Reject,High Risk,0,0,1,0.9977740678909294,Immediate Review,Reject,302341.5,27859.5,261000.0,0.7,302341.5,66147.3974751126
221039,1,0.8859925,0.3075859467522909,D,Reject,High Risk,0,0,1,0.9974958263772955,Immediate Review,Reject,634482.0,24714.0,454500.0,0.7,634482.0,136610.4226671009
356343,1,0.8758099,0.2995227798402002,D,Reject,High Risk,0,0,1,0.9972175848636616,Immediate Review,Reject,225000.0,19440.0,225000.0,0.7,225000.0,47174.83782483153
288483,1,0.87414676,0.2982173512556628,D,Reject,High Risk,0,0,1,0.9969393433500279,Immediate Review,Reject,450000.0,27193.5,450000.0,0.7,450000.0,93938.46564553377
187156,1,0.873241,0.29750779145885814,D,Reject,High Risk,0,0,1,0.996661101836394,Immediate Review,Reject,45000.0,3172.5,45000.0,0.7,45000.0,9371.495430954032
265681,0,0.87032676,0.2952314095136397,C,Reject,High Risk,0,0,1,0.9963828603227601,Immediate Review,Reject,278460.0,22455.0,225000.0,,278460.0,
253725,0,0.8703246,0.2952297371423672,C,Reject,High Risk,0,0,1,0.9961046188091264,Immediate Review,Reject,835380.0,45445.5,675000.0,,835380.0,
386967,0,0.8665314,0.2922819873166443,C,Reject,High Risk,0,0,1,0.9958263772954925,Immediate Review,Reject,452385.0,22131.0,373500.0,,452385.0,
144623,1,0.8628515,0.2894389135582486,D,Reject,High Risk,0,0,1,0.9955481357818586,Immediate Review,Reject,327024.0,15903.0,270000.0,0.7,327024.0,66257.42988723087
154527,1,0.86278987,0.289391436961721,D,Reject,High Risk,0,0,1,0.9952698942682248,Immediate Review,Reject,225000.0,25384.5,225000.0,0.7,225000.0,45579.15132147105
427037,0,0.85864574,0.28620969312459893,C,Reject,High Risk,0,0,1,0.994991652754591,Immediate Review,Reject,225000.0,21582.0,225000.0,,225000.0,
162939,1,0.858593,0.28616932842542997,D,Reject,High Risk,0,0,1,0.9947134112409571,Immediate Review,Reject,254799.0,20259.0,193500.0,0.7,254799.0,51040.96109942979
257597,0,0.8581193,0.285807019977094,C,Reject,High Risk,0,0,1,0.9944351697273233,Immediate Review,Reject,225000.0,11488.5,225000.0,,225000.0,
238567,1,0.85706645,0.2850026940476872,D,Reject,High Risk,0,0,1,0.9941569282136895,Immediate Review,Reject,373500.0,25393.5,373500.0,0.7,373500.0,74513.9543587678
273439,1,0.8556073,0.28389021150075106,D,Reject,High Risk,0,0,1,0.9938786867000556,Immediate Review,Reject,545040.0,26640.0,450000.0,0.7,545040.0,108312.06461345855
366331,0,0.85333264,0.2821612655805803,C,Reject,High Risk,0,0,1,0.9936004451864218,Immediate Review,Reject,601470.0,32760.0,450000.0,,601470.0,
239650,0,0.8491488,0.2789978887510846,C,Reject,High Risk,0,0,1,0.993322203672788,Immediate Review,Reject,270000.0,13500.0,270000.0,,270000.0,
217209,1,0.84912634,0.2789809573640721,D,Reject,High Risk,0,0,1,0.9930439621591541,Immediate Review,Reject,729000.0,25825.5,729000.0,0.7,729000.0,142363.98254288596
309718,0,0.8467004,0.2771567515753632,C,Reject,High Risk,0,0,1,0.9927657206455203,Immediate Review,Reject,942300.0,36643.5,675000.0,,942300.0,
268561,0,0.8446068,0.2755884308956207,C,Reject,High Risk,0,0,1,0.9924874791318865,Immediate Review,Reject,212427.0,11650.5,144000.0,,212427.0,
284819,0,0.83814114,0.2707797416108537,C,Reject,High Risk,0,0,1,0.9922092376182526,Immediate Review,Reject,521451.0,31815.0,396000.0,,521451.0,
312920,0,0.83746517,0.2702800571605695,C,Reject,High Risk,0,0,1,0.9919309961046188,Immediate Review,Reject,495000.0,19309.5,495000.0,,495000.0,
364970,1,0.8367286,0.2697362251510619,D,Reject,High Risk,0,0,1,0.991652754590985,Immediate Review,Reject,225000.0,17905.5,225000.0,0.7,225000.0,42483.455461292244
330453,0,0.8354851,0.26881972938199294,C,Reject,High Risk,0,0,1,0.9913745130773511,Immediate Review,Reject,270000.0,13500.0,270000.0,,270000.0,
292277,1,0.8352048,0.2686133924609933,D,Reject,High Risk,0,0,1,0.9910962715637173,Immediate Review,Reject,188460.0,12879.0,135000.0,0.7,188460.0,35436.01596023916
133828,0,0.83503985,0.2684920414085383,C,Reject,High Risk,0,0,1,0.9908180300500835,Immediate Review,Reject,247675.5,22846.5,229500.0,,247675.5,
100020,0,0.8324811,0.2666137751831149,C,Reject,High Risk,0,0,1,0.9905397885364496,Immediate Review,Reject,509602.5,26149.5,387000.0,,509602.5,
