feature_display,feature_group,mean_abs_shap
Temporal Behavioral Pattern,Temporal Embedding,0.67117965
External Risk Score 2,Static Application,0.39123318
External Risk Score 3,Static Application,0.33062616
External Risk Score 1,Static Application,0.14430524
Days Since Last Phone Change,Static Application,0.11838077
NAME_EDUCATION_TYPE_Secondary_secondary_special,Static Application,0.084575966
Days Since ID Update,Static Application,0.08433332
Annuity Amount,Static Application,0.06932681
Age Proxy (Days Birth),Static Application,0.059588816
Employment Length,Static Application,0.05785304
OWN_CAR_AGE,Static Application,0.045056753
Goods Price,Static Application,0.04289956
CODE_GENDER_M,Static Application,0.04072008
Days Since Registration,Static Application,0.036255617
Credit Amount,Static Application,0.036132824
Region Population Relative,Static Application,0.030634267
OBS_60_CNT_SOCIAL_CIRCLE,Static Application,0.024262873
NONLIVINGAREA_MODE,Static Application,0.02125432
DEF_30_CNT_SOCIAL_CIRCLE,Static Application,0.02119241
YEARS_BUILD_MODE,Static Application,0.020518681
NAME_FAMILY_STATUS_Separated,Static Application,0.017719122
YEARS_BUILD_MEDI,Static Application,0.014927031
OCCUPATION_TYPE_Drivers,Static Application,0.014594533
REG_CITY_NOT_WORK_CITY,Static Application,0.014379648
FLAG_PHONE,Static Application,0.014278294
YEARS_BEGINEXPLUATATION_MEDI,Static Application,0.0131379105
AMT_REQ_CREDIT_BUREAU_QRT,Static Application,0.0128582325
OBS_30_CNT_SOCIAL_CIRCLE,Static Application,0.012699246
AMT_REQ_CREDIT_BUREAU_YEAR,Static Application,0.01255524
Total Income,Static Application,0.011522384
NAME_INCOME_TYPE_Working,Static Application,0.011471298
APARTMENTS_AVG,Static Application,0.009849697
COMMONAREA_MEDI,Static Application,0.009562559
LIVE_CITY_NOT_WORK_CITY,Static Application,0.009433822
WEEKDAY_APPR_PROCESS_START_MONDAY,Static Application,0.008759688
CNT_FAM_MEMBERS,Static Application,0.008684387
WEEKDAY_APPR_PROCESS_START_SUNDAY,Static Application,0.007952539
HOUR_APPR_PROCESS_START,Static Application,0.007714901
YEARS_BEGINEXPLUATATION_MODE,Static Application,0.007071154
YEARS_BEGINEXPLUATATION_AVG,Static Application,0.006463597
BASEMENTAREA_AVG,Static Application,0.006253646
BASEMENTAREA_MEDI,Static Application,0.0060769403
Number of Children,Static Application,0.0058737835
LIVINGAREA_MEDI,Static Application,0.00528036
FLOORSMIN_MODE_is_missing,Static Application,0.0050824936
FLAG_EMP_PHONE,Static Application,0.005052301
NAME_EDUCATION_TYPE_Higher_education,Static Application,0.0048484774
NAME_FAMILY_STATUS_Married,Static Application,0.0044105933
COMMONAREA_AVG,Static Application,0.0041441894
TOTALAREA_MODE,Static Application,0.0040525794
NAME_FAMILY_STATUS_Widow,Static Application,0.0038124493
LIVINGAREA_AVG,Static Application,0.003798012
FONDKAPREMONT_MODE_is_missing,Static Application,0.0037044745
