feature,mean_abs_shap,feature_display,feature_group
EXT_SOURCE_2,0.43204704,External Risk Score 2,Static Application
EXT_SOURCE_3,0.36140263,External Risk Score 3,Static Application
EXT_SOURCE_1,0.16790466,External Risk Score 1,Static Application
DAYS_LAST_PHONE_CHANGE,0.14822792,Days Since Last Phone Change,Static Application
tcn_emb_v2_32,0.11655545,Temporal Behavioral Pattern,Temporal Embedding
AMT_ANNUITY,0.111134976,Annuity Amount,Static Application
tcn_emb_v2_12,0.097744815,Temporal Behavioral Pattern,Temporal Embedding
DAYS_ID_PUBLISH,0.09773137,Days Since ID Update,Static Application
NAME_EDUCATION_TYPE_Secondary_secondary_special,0.08802713,NAME_EDUCATION_TYPE_Secondary_secondary_special,Static Application
DAYS_EMPLOYED,0.08396115,Employment Length,Static Application
AMT_GOODS_PRICE,0.07430047,Goods Price,Static Application
DAYS_BIRTH,0.07234307,Age Proxy (Days Birth),Static Application
OWN_CAR_AGE,0.0686822,OWN_CAR_AGE,Static Application
REGION_POPULATION_RELATIVE,0.058852322,Region Population Relative,Static Application
tcn_emb_v2_28,0.051208828,Temporal Behavioral Pattern,Temporal Embedding
tcn_emb_v2_3,0.049011514,Temporal Behavioral Pattern,Temporal Embedding
AMT_CREDIT,0.048265636,Credit Amount,Static Application
DAYS_REGISTRATION,0.04530216,Days Since Registration,Static Application
CODE_GENDER_M,0.038083635,CODE_GENDER_M,Static Application
DEF_30_CNT_SOCIAL_CIRCLE,0.035793673,DEF_30_CNT_SOCIAL_CIRCLE,Static Application
tcn_emb_v2_46,0.035049744,Temporal Behavioral Pattern,Temporal Embedding
tcn_emb_v2_56,0.03350162,Temporal Behavioral Pattern,Temporal Embedding
YEARS_BUILD_MODE,0.031158993,YEARS_BUILD_MODE,Static Application
tcn_emb_v2_57,0.028216459,Temporal Behavioral Pattern,Temporal Embedding
tcn_emb_v2_61,0.027228473,Temporal Behavioral Pattern,Temporal Embedding
NONLIVINGAREA_MODE,0.026250051,NONLIVINGAREA_MODE,Static Application
AMT_REQ_CREDIT_BUREAU_QRT,0.02527744,AMT_REQ_CREDIT_BUREAU_QRT,Static Application
OBS_60_CNT_SOCIAL_CIRCLE,0.024861861,OBS_60_CNT_SOCIAL_CIRCLE,Static Application
OBS_30_CNT_SOCIAL_CIRCLE,0.02394641,OBS_30_CNT_SOCIAL_CIRCLE,Static Application
tcn_emb_v2_21,0.023702664,Temporal Behavioral Pattern,Temporal Embedding
tcn_emb_v2_33,0.021470029,Temporal Behavioral Pattern,Temporal Embedding
tcn_emb_v2_30,0.021234153,Temporal Behavioral Pattern,Temporal Embedding
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.020506822,WEEKDAY_APPR_PROCESS_START_SUNDAY,Static Application
CNT_FAM_MEMBERS,0.020466236,CNT_FAM_MEMBERS,Static Application
tcn_emb_v2_52,0.02042524,Temporal Behavioral Pattern,Temporal Embedding
tcn_emb_v2_63,0.019888926,Temporal Behavioral Pattern,Temporal Embedding
tcn_emb_v2_34,0.019696862,Temporal Behavioral Pattern,Temporal Embedding
NAME_FAMILY_STATUS_Separated,0.019220196,NAME_FAMILY_STATUS_Separated,Static Application
NAME_INCOME_TYPE_Working,0.018141164,NAME_INCOME_TYPE_Working,Static Application
YEARS_BEGINEXPLUATATION_MEDI,0.017686162,YEARS_BEGINEXPLUATATION_MEDI,Static Application
tcn_emb_v2_17,0.01735586,Temporal Behavioral Pattern,Temporal Embedding
FLAG_PHONE,0.017047275,FLAG_PHONE,Static Application
tcn_emb_v2_51,0.016876334,Temporal Behavioral Pattern,Temporal Embedding
AMT_REQ_CREDIT_BUREAU_YEAR,0.016776107,AMT_REQ_CREDIT_BUREAU_YEAR,Static Application
APARTMENTS_MEDI,0.016704146,APARTMENTS_MEDI,Static Application
tcn_emb_v2_2,0.016665418,Temporal Behavioral Pattern,Temporal Embedding
OCCUPATION_TYPE_Drivers,0.016525595,OCCUPATION_TYPE_Drivers,Static Application
tcn_emb_v2_43,0.015362132,Temporal Behavioral Pattern,Temporal Embedding
YEARS_BUILD_AVG,0.015268468,YEARS_BUILD_AVG,Static Application
tcn_emb_v2_31,0.014967487,Temporal Behavioral Pattern,Temporal Embedding
WEEKDAY_APPR_PROCESS_START_MONDAY,0.014962572,WEEKDAY_APPR_PROCESS_START_MONDAY,Static Application
AMT_INCOME_TOTAL,0.014836115,Total Income,Static Application
tcn_emb_v2_16,0.014768792,Temporal Behavioral Pattern,Temporal Embedding
tcn_emb_v2_45,0.014618313,Temporal Behavioral Pattern,Temporal Embedding
NAME_EDUCATION_TYPE_Higher_education,0.014378116,NAME_EDUCATION_TYPE_Higher_education,Static Application
APARTMENTS_MODE,0.014368668,APARTMENTS_MODE,Static Application
tcn_emb_v2_15,0.014303162,Temporal Behavioral Pattern,Temporal Embedding
tcn_emb_v2_39,0.014185629,Temporal Behavioral Pattern,Temporal Embedding
TOTALAREA_MODE,0.013973744,TOTALAREA_MODE,Static Application
COMMONAREA_MEDI,0.01388283,COMMONAREA_MEDI,Static Application
tcn_emb_v2_29,0.013851112,Temporal Behavioral Pattern,Temporal Embedding
ELEVATORS_MODE,0.01351837,ELEVATORS_MODE,Static Application
tcn_emb_v2_38,0.013247797,Temporal Behavioral Pattern,Temporal Embedding
tcn_emb_v2_41,0.012867205,Temporal Behavioral Pattern,Temporal Embedding
LIVINGAREA_MODE,0.01272903,LIVINGAREA_MODE,Static Application
HOUR_APPR_PROCESS_START,0.012325626,HOUR_APPR_PROCESS_START,Static Application
REG_CITY_NOT_WORK_CITY,0.011997775,REG_CITY_NOT_WORK_CITY,Static Application
tcn_emb_v2_11,0.011926755,Temporal Behavioral Pattern,Temporal Embedding
NAME_FAMILY_STATUS_Married,0.011821103,NAME_FAMILY_STATUS_Married,Static Application
YEARS_BEGINEXPLUATATION_MODE,0.011800591,YEARS_BEGINEXPLUATATION_MODE,Static Application
tcn_emb_v2_42,0.011720772,Temporal Behavioral Pattern,Temporal Embedding
COMMONAREA_AVG,0.011637796,COMMONAREA_AVG,Static Application
LANDAREA_MODE,0.011496694,LANDAREA_MODE,Static Application
tcn_emb_v2_9,0.011491773,Temporal Behavioral Pattern,Temporal Embedding
NAME_FAMILY_STATUS_Widow,0.011171689,NAME_FAMILY_STATUS_Widow,Static Application
LIVINGAREA_AVG,0.0105683785,LIVINGAREA_AVG,Static Application
tcn_emb_v2_55,0.01055014,Temporal Behavioral Pattern,Temporal Embedding
